"","Zip","Amt1"
"1","",9700
"2","02043",400
"3","02108",200
"4","02132",1000
"5","02186",100
"6","02806",200
"7","02920",1100
"8","07601",100
"9","07950",50
"10","10007",750
"11","10012",1100
"12","10014",750
"13","10025",1950
"14","1106",200
"15","11201",1100
"16","11215",100
"17","11223",20
"18","11414",500
"19","11968",50
"20","12553",250
"21","14202",100
"22","18901-4758",500
"23","19034",500
"24","19154",2200
"25","19711",1000
"26","19971",1200
"27","19971-2131",1800
"28","20001",50
"29","20001-2130",2200
"30","20007",750
"31","20008-4103",1100
"32","20015",2500
"33","20015-2238",900
"34","20016",300
"35","20057-1200",50
"36","20814",50
"37","20815",1350
"38","21076-1307",2000
"39","22046",25
"40","22181",750
"41","22201",20
"42","22205",150
"43","22315",200
"44","2460",100
"45","2466",1100
"46","27403",25
"47","27607",250
"48","28277",150
"49","28715",150
"50","30024",500
"51","30080-6344",600
"52","30305",150
"53","32751",750
"54","32809",500
"55","33027",1100
"56","33041",100
"57","33138",1100
"58","33156",2000
"59","33480",1500
"60","33761",150
"61","34216-4095",2200
"62","34677",50
"63","34744",10
"64","34786",1500
"65","39530",1100
"66","39540",1000
"67","40444",25
"68","40508",200
"69","43201",250
"70","48108",100
"71","48124",25
"72","48375",201
"73","49007",100
"74","49120",10
"75","49423",10
"76","54136",25
"77","55331",1500
"78","55391",-200
"79","60093",1100
"80","60403",100
"81","60610",150
"82","60615",500
"83","60657",20
"84","63144",900
"85","64105",500
"86","6437",250
"87","68114",300
"88","70072",10
"89","70113",600
"90","72207",100
"91","72701",500
"92","75022",100
"93","75070",25
"94","75254-7541",3300
"95","76092",250
"96","76102-3021",1000
"97","77354",50
"98","77380",1100
"99","78233",3300
"100","78681",1100
"101","78731-4005",300
"102","78746",1000
"103","7945",1100
"104","80107",250
"105","80133",1000
"106","80138",500
"107","80487",100
"108","80537",1800
"109","80920",50
"110","83616",100
"111","84003",50
"112","84005-4147",200
"113","84103",75
"114","85054",6600
"115","85054-6164",3300
"116","85203",1000
"117","85274",1100
"118","85283",450
"119","85284",300
"120","85298-0806",75
"121","85392",60
"122","89074",20
"123","89109",1100
"124","89120",1000
"125","89135",2840
"126","89511",200
"127","89511-9001",1000
"128","90020",2200
"129","90024",6605
"130","90025",3200
"131","90026",5
"132","90042-1529",300
"133","90064",750
"134","90068",100
"135","90071",125
"136","90211",1100
"137","90212",50
"138","90217",25
"139","90245",2205
"140","90266",1850
"141","90277",100
"142","90278",50
"143","90291",250
"144","90401",5350
"145","90503",25
"146","90505-5403",1100
"147","90605",1000
"148","90620",20
"149","90623",5
"150","90640",5
"151","90701",10
"152","90703",113
"153","91001",10
"154","91011",1100
"155","91024",1000
"156","91101-2917",2200
"157","91103",1000
"158","91105",1500
"159","91108",528
"160","91304",1700
"161","91335",15
"162","91350",3300
"163","91403",25
"164","91406",400
"165","91423",1100
"166","91504",750
"167","91505-5008",2200
"168","91607",300
"169","91709",100
"170","91755",1000
"171","91761",2200
"172","91762",450
"173","91765",3300
"174","91786",400
"175","91801",1000
"176","91977",20
"177","92011",2200
"178","92014",150
"179","92020",1500
"180","92024",5500
"181","92025",500
"182","92037",1100
"183","92064",100
"184","92067",1350
"185","92101",1350
"186","92106",300
"187","92107",50
"188","92110",25
"189","92111",3300
"190","92116",250
"191","92121",1000
"192","92123",1100
"193","92126",125
"194","92127",1100
"195","92130",4900
"196","92210-6101",1000
"197","92253",1100
"198","92261",500
"199","92262-5715",200
"200","92270",500
"201","92334",1000
"202","92505",1300
"203","92563",5000
"204","92596",2000
"205","92603",1100
"206","92603-4237",3300
"207","92612",50
"208","92614",1100
"209","92624",100
"210","92629-1105",150
"211","92637",200
"212","92647",405
"213","92648-4635",200
"214","92660",3300
"215","92673-7036",200
"216","92683",1375
"217","92688-2706",650
"218","92694-1202",200
"219","92701",1500
"220","92708",2000
"221","92780",100
"222","92801",1105
"223","92805",50
"224","92843",50
"225","92866",250
"226","92868",8900
"227","92868-4639",3300
"228","92868-4662",3300
"229","93420",150.7
"230","93428-3928",75
"231","93444",200
