"","Zip","Amt1"
"1","02108",200
"2","02132",1000
"3","18901",500
"4","19154",2200
"5","19971",3000
"6","20001",2200
"7","20015",900
"8","21076",2000
"9","33761",150
"10","63144",900
"11","64105",250
"12","75022",100
"13","75254",3300
"14","76102",1000
"15","78731",300
"16","80920",50
"17","83616",100
"18","84005",200
"19","85054",3300
"20","85298",75
"21","89135",1000
"22","89511",1200
"23","90020",2200
"24","90071",100
"25","90245",2200
"26","90505",1100
"27","91101",2200
"28","91304",750
"29","91406",400
"30","91505",2200
"31","91709",100
"32","91761",2200
"33","91786",400
"34","92111",3300
"35","92261",500
"36","92262",200
"37","92270",500
"38","92334",1000
"39","92603",3300
"40","92629",150
"41","92637",200
"42","92647",400
"43","92648",200
"44","92673",200
"45","92688",650
"46","92694",200
"47","92701",1500
"48","92868",6600
"49","93420",100.7
"50","93428",75
"51","93444",200
"52","93446",100
"53","93561",200
"54","93614",50
"55","93619",150
"56","93635",100
"57","93667",100
"58","93737",30
"59","93901",150
"60","93906",100
"61","93908",300
"62","93923",747
"63","93924",1800
"64","93933",120.42
"65","93940",250
"66","94002",200
"67","94010",4400
"68","94015",3500
"69","94022",11800
"70","94024",2850
"71","94025",2400
"72","94027",2200
"73","94028",200
"74","94040",1150
"75","94043",3400
"76","94061",1500
"77","94062",2498
"78","94066",2000
"79","94070",2100
"80","94085",3100
"81","94086",2184.6
"82","94087",11075.18
"83","94089",700
"84","94102",2400
"85","94103",4400
"86","94104",300
"87","94105",200
"88","94109",4801.4
"89","94110",3100
"90","94116",300
"91","94117",2500
"92","94122",1100
"93","94127",500
"94","94134",500
"95","94158",1200
"96","94301",2800
"97","94303",5590
"98","94305",3000
"99","94306",2700
"100","94402",400
"101","94403",2100
"102","94404",400
"103","94502",2200
"104","94505",850
"105","94506",2475
"106","94507",2800
"107","94509",100
"108","94510",150
"109","94513",2450
"110","94517",300
"111","94518",2200
"112","94520",1600
"113","94521",250
"114","94523",200
"115","94526",2000
"116","94531",300
"117","94536",400
"118","94538",4000
"119","94539",10502
"120","94542",640.98
"121","94550",5496.96
"122","94551",1200
"123","94552",650
"124","94553",300
"125","94555",500
"126","94557",100
"127","94560",2100
"128","94565",500
"129","94566",4575
"130","94568",500
"131","94571",440.98
"132","94577",2200
"133","94578",500
"134","94582",1700
"135","94583",4920
"136","94587",100
"137","94588",1050
"138","94590",1050
"139","94591",1700
"140","94596",2740
"141","94605",200
"142","94607",2450
"143","94610",100
"144","94619",50
"145","94621",5500
"146","94903",1000
"147","94941",3800
"148","94949",1100
"149","95002",9375
"150","95003",2075
"151","95005",1098
"152","95008",26636.12
"153","95010",300
"154","95014",19198
"155","95015",100
"156","95018",750
"157","95019",200
"158","95020",18122.24
"159","95023",2140.98
"160","95030",19050
"161","95032",26000
"162","95033",1280.56
"163","95035",31693
"164","95037",29580.56
"165","95046",4450
"166","95050",15900
"167","95051",6250
"168","95054",490
"169","95055",500
"170","95060",10660
"171","95062",2400
"172","95065",200
"173","95066",991.68
"174","95070",20780
"175","95073",290
"176","95076",1448
"177","95109",1100
"178","95110",8633.98
"179","95111",12305
"180","95112",65943
"181","95113",33750
"182","95116",5240
"183","95117",1700
"184","95118",15508
"185","95119",4840.98
"186","95120",33149.94
"187","95121",31554.98
"188","95122",4502
"189","95123",12160.98
"190","95124",13076.96
"191","95125",48216.12
"192","95126",32215.98
"193","95127",35346.96
"194","95128",20940.98
"195","95129",9830
"196","95130",2035
"197","95131",12286.84
"198","95132",17833
"199","95133",9107.7
"200","95134",150
"201","95135",32770
"202","95136",16025.98
"203","95138",23510
"204","95139",175
"205","95140",6600
"206","95148",62948
"207","95150",500
"208","95151",200
"209","95153",100
"210","95160",200
"211","95203",250
"212","95204",500
"213","95219",150
"214","95242",600
"215","95247",50
"216","95258",200
"217","95321",200
"218","95337",215.98
"219","95356",200
"220","95361",150
"221","95377",75
"222","95382",100
"223","95436",100
"224","95618",200
"225","95628",50
"226","95630",2200
"227","95648",1100
"228","95661",500
"229","95667",120
"230","95682",300
"231","95685",201.4
"232","95689",200
"233","95690",750
"234","95746",300
"235","95747",850
"236","95757",265
"237","95762",1240
"238","95811",4400
"239","95814",29900
"240","95818",1000
"241","95821",300
"242","95828",2200
"243","95829",100
"244","95834",3200
"245","95841",100
"246","95864",1000
"247","95946",200
"248","95969",720
"249","96094",140.98
"250","96114",3500
"251","96150",100
"252","96766",200
"253","96821",750
"254","97411",400
"255","97756",400
"256","99163",200
