"","Zip","Amt1"
"1","20015",1250
"2","48375",201
"3","84003",50
"4","85054",1100
"5","90211",1100
"6","91762",450
"7","92024",1100
"8","92603",1100
"9","92868",2200
"10","93924",500
"11","94002",1100
"12","94010",250
"13","94022",3000
"14","94024",100
"15","94041",500
"16","94042",100
"17","94043",100
"18","94066",250
"19","94085",1600
"20","94086",2300
"21","94087",500
"22","94301",1000
"23","94303",1600
"24","94403",1000
"25","94506",1600
"26","94536",300
"27","94538",1000
"28","94539",151
"29","94550",1600
"30","94566",1000
"31","94577",50
"32","94583",1500
"33","94587",25
"34","94588",500
"35","94596",1200
"36","94704",250
"37","95008",3100
"38","95011",200.51
"39","95014",2300
"40","95020",500
"41","95024",500
"42","95025",500
"43","95030",3300
"44","95032",6850
"45","95035",2650
"46","95037",1000
"47","95050",7600
"48","95051",1700
"49","95054",4550
"50","95076",1100
"51","95110",2700
"52","95111",1100
"53","95112",8150
"54","95113",3300
"55","95116",3401
"56","95118",550
"57","95119",1100
"58","95120",100
"59","95121",6600
"60","95122",1202
"61","95124",1490
"62","95125",2850
"63","95126",3750
"64","95127",4900
"65","95128",200
"66","95129",200
"67","95131",2200
"68","95132",1600
"69","95133",2300
"70","95135",3650
"71","95136",1600
"72","95138",9920
"73","95148",9175
"74","95150",4400
"75","95151",1100
"76","95377",800
"77","95814",1100
"78","95818",1000
"79","95843",600
"80","98075",1100
