"","Zip","Amt1"
"1","07601",100
"2","07950",50
"3","11201",1100
"4","11223",20
"5","14202",100
"6","19711",1000
"7","20015",500
"8","22046",25
"9","22205",50
"10","27403",25
"11","32809",500
"12","33041",100
"13","34677",50
"14","34744",10
"15","39530",1100
"16","39540",1000
"17","40444",25
"18","48124",25
"19","49120",10
"20","49423",10
"21","54136",25
"22","60657",20
"23","70072",10
"24","85054",1100
"25","85274",1100
"26","85392",60
"27","89074",20
"28","89109",1100
"29","89120",1000
"30","90024",1105
"31","90026",5
"32","90068",100
"33","90212",50
"34","90217",25
"35","90245",5
"36","90266",1100
"37","90401",1350
"38","90503",25
"39","90620",20
"40","90623",5
"41","90640",5
"42","90701",10
"43","90703",113
"44","91001",10
"45","91108",10
"46","91304",250
"47","91335",15
"48","91423",1100
"49","91755",1000
"50","91801",1000
"51","91977",20
"52","92024",1100
"53","92067",1100
"54","92126",125
"55","92505",1300
"56","92563",5000
"57","92596",2000
"58","92612",50
"59","92647",5
"60","92660",3300
"61","92683",1375
"62","92708",2000
"63","92780",100
"64","92801",1105
"65","92805",50
"66","92843",50
"67","92868",100
"68","93720",10
"69","93905",100
"70","93924",1000
"71","93933",25
"72","93950",1100
"73","93953",1100
"74","94002",2200
"75","94010",10400
"76","94014",5
"77","94015",3600
"78","94022",3475
"79","94024",1800
"80","94027",1100
"81","94030",3320
"82","94041",500
"83","94043",20
"84","94044",100
"85","94063",100
"86","94065",1100
"87","94066",1240
"88","94070",3949
"89","94080",1100
"90","94085",2155
"91","94086",500
"92","94087",275
"93","94088",300
"94","94089",10
"95","94102",5
"96","94105",20
"97","94108",1000
"98","94109",50
"99","94110",1000
"100","94111",1100
"101","94112",1000
"102","94115",1100
"103","94118",300
"104","94121",5
"105","94122",100
"106","94131",100
"107","94134",299
"108","94158",55
"109","94159",1000
"110","94301",1100
"111","94303",500
"112","94306",1110
"113","94402",500
"114","94403",1015
"115","94501",500
"116","94502",1232
"117","94506",1600
"118","94513",3120
"119","94520",1100
"120","94521",30
"121","94523",50
"122","94536",1320
"123","94538",2700
"124","94539",8365
"125","94541",1099
"126","94544",2875
"127","94545",10
"128","94546",100
"129","94550",1000
"130","94552",2025
"131","94555",110
"132","94560",725
"133","94565",20
"134","94566",1000
"135","94568",20
"136","94577",500
"137","94579",5
"138","94580",90
"139","94582",100
"140","94583",1025
"141","94587",269
"142","94588",2210
"143","94589",100
"144","94596",1100
"145","94601",15
"146","94605",2000
"147","94606",2115
"148","94608",1600
"149","94609",51
"150","94610",104
"151","94611",2200
"152","94619",1145
"153","94621",250
"154","94706",250
"155","94804",500
"156","94806",1100
"157","94920",1100
"158","95008",3670
"159","95010",500
"160","95013",500
"161","95014",3520
"162","95020",847
"163","95030",2135
"164","95031",50
"165","95032",6305
"166","95035",9716
"167","95036",100
"168","95037",2509
"169","95050",9765
"170","95051",4340
"171","95054",5536
"172","95060",20
"173","95070",6374
"174","95073",50
"175","95088",1000
"176","95109",250
"177","95110",9335
"178","95111",16286
"179","95112",38528
"180","95113",10179
"181","95116",8644
"182","95117",1925
"183","95118",2010
"184","95119",1120
"185","95120",4590
"186","95121",30603
"187","95122",20139
"188","95123",1400
"189","95124",4684
"190","95125",6724
"191","95126",8693
"192","95127",8119
"193","95128",6595
"194","95129",225
"195","95131",18878
"196","95132",12575
"197","95133",4473
"198","95134",1220
"199","95135",7908
"200","95136",4955
"201","95137",500
"202","95138",10690
"203","95139",30
"204","95148",19243
"205","95150",1106
"206","95151",1625
"207","95153",30
"208","95155",200
"209","95160",5
"210","95164",2180
"211","95170",1000
"212","95173",3000
"213","95201",500
"214","95301",5
"215","95311",100
"216","95350",5
"217","95355",100
"218","95377",15
"219","95382",300
"220","95391",300
"221","95492",2000
"222","95616",15
"223","95624",1050
"224","95631",1100
"225","95746",500
"226","95758",65
"227","95759",20
"228","95811",8
"229","95814",1100
"230","95823",500
"231","95833",100
"232","95835",20
"233","97201",1000
"234","97223",1000
"235","98030",1000
"236","98101",500
"237","99723",500
