"","Zip","Amt1"
"1","10012",1100
"2","11968",50
"3","20015",250
"4","28277",150
"5","60403",100
"6","75070",25
"7","77354",50
"8","80133",1000
"9","80487",100
"10","85054",1100
"11","90401",350
"12","91103",1000
"13","91108",518
"14","91304",350
"15","92014",150
"16","92024",1100
"17","92025",250
"18","92037",1100
"19","92064",100
"20","92067",250
"21","92121",250
"22","92130",300
"23","92614",1100
"24","92624",100
"25","92866",250
"26","93420",50
"27","93908",100
"28","93924",500
"29","94002",200
"30","94010",1150
"31","94025",1100
"32","94027",250
"33","94040",100
"34","94062",2200
"35","94066",50
"36","94070",200
"37","94086",2000
"38","94087",2100
"39","94089",100
"40","94103",500
"41","94109",1200
"42","94129",50
"43","94301",2450
"44","94303",2300
"45","94306",1200
"46","94403",1000
"47","94505",1000
"48","94507",200
"49","94530",1100
"50","94542",50
"51","94549",500
"52","94583",1000
"53","94588",2200
"54","94596",1100
"55","94597",100
"56","94606",250
"57","94611",500
"58","95008",3200
"59","95013",500
"60","95014",4900
"61","95030",10550
"62","95031",500
"63","95032",9650
"64","95033",2200
"65","95035",950
"66","95037",2050
"67","95046",1100
"68","95050",6500
"69","95051",1350
"70","95054",1350
"71","95060",500
"72","95062",200
"73","95063",20
"74","95066",100
"75","95070",3085
"76","95110",2350
"77","95111",20
"78","95112",14195
"79","95113",8400
"80","95116",100
"81","95117",50
"82","95118",3170
"83","95120",7825
"84","95122",500
"85","95123",2700
"86","95124",10580
"87","95125",82657.49
"88","95126",27295
"89","95127",50
"90","95128",8355
"91","95129",20
"92","95130",1100
"93","95131",2175
"94","95135",1700
"95","95136",1650
"96","95138",450
"97","95139",30
"98","95141",200
"99","95148",100
"100","95150",10100
"101","95159",2600
"102","95301",1000
"103","95630",1100
"104","95648",200
"105","95746",50
"106","95814",1100
"107","96134",100
