Filer_ID,Filer_NamL,Report_Num,Committee_Type,Rpt_Date,From_Date,Thru_Date,Elect_Date,tblCover_Office_Cd,tblCover_Offic_Dscr,Rec_Type,Form_Type,Line_Item,Amount_A,Amount_B,Amount_C
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F460,1,2050.00,11425.00,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F460,2,-5500.00,6173.90,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F460,3,-3450.00,17598.90,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F460,4,0.00,0.00,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F460,5,-3450.00,17598.90,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F460,6,928.00,19617.45,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F460,7,0.00,0.00,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F460,8,928.00,19617.45,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F460,9,0.00,0.00,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F460,10,0.00,0.00,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F460,11,928.00,19617.45,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F460,12,4378.88,,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F460,13,-3450.00,,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F460,14,0.00,,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F460,15,928.00,,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F460,16,0.88,,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F460,17,0.00,,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F460,18,0.00,,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F460,19,6173.90,,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,A,1,2050.00,,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,A,2,0.00,,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,A,3,2050.00,,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,B1,1,0.00,,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,B1,2,5500.00,,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,B1,3,-5500.00,,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,C,1,0.00,,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,C,2,0.00,,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,C,3,0.00,,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,D,1,0.00,,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,D,2,0.00,,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,D,3,0.00,,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,E,1,928.00,,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,E,2,0.00,,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,E,3,0.00,,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,E,4,928.00,,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F,1,0.00,,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F,2,0.00,,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F,3,0.00,,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,H,1,0.00,,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,H,2,0.00,,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,H,3,0.00,,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,I,1,0.00,,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,I,2,0.00,,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,I,3,0.00,,
1362648,Buu Thai for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,I,4,0.00,,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F460,1,0.00,10977.00,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F460,2,-183.48,1316.52,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F460,3,-183.48,12293.52,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F460,4,0.00,1445.29,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F460,5,-183.48,13738.81,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F460,6,500.00,13158.67,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F460,7,0.00,0.00,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F460,8,500.00,13158.67,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F460,9,-500.00,0.00,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F460,10,0.00,1445.29,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F460,11,0.00,14603.96,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F460,12,683.48,,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F460,13,-183.48,,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F460,14,0.00,,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F460,15,500.00,,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F460,16,0.00,,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F460,17,0.00,,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F460,18,0.00,,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F460,19,1316.52,,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,A,1,0.00,,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,A,2,0.00,,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,A,3,0.00,,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,B1,1,0.00,,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,B1,2,183.48,,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,B1,3,-183.48,,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,C,1,0.00,,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,C,2,0.00,,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,C,3,0.00,,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,D,1,0.00,,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,D,2,0.00,,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,D,3,0.00,,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,E,1,500.00,,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,E,2,0.00,,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,E,3,0.00,,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,E,4,500.00,,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F,1,0.00,,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F,2,500.00,,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,F,3,-500.00,,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,H,1,0.00,,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,H,2,0.00,,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,H,3,0.00,,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,I,1,0.00,,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,I,2,0.00,,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,I,3,0.00,,
ID1362189,Mejia for City Council 2014,000,CTL,41850,41777,41820,41793,,,SMRY,I,4,0.00,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,F460,1,35461.45,75209.51,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,F460,2,-19356.45,643.55,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,F460,3,16105.00,75853.06,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,F460,4,0.00,9.00,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,F460,5,16105.00,75862.06,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,F460,6,18868.76,70314.17,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,F460,7,0.00,0.00,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,F460,8,18868.76,70314.17,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,F460,9,-8120.62,0.00,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,F460,10,0.00,9.00,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,F460,11,10748.14,70323.17,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,F460,12,18923.57,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,F460,13,16105.00,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,F460,14,0.00,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,F460,15,18868.76,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,F460,16,16159.81,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,F460,17,0.00,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,F460,18,0.00,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,F460,19,643.55,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,A,1,35461.45,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,A,2,0.00,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,A,3,35461.45,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,B1,1,643.55,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,B1,2,20000.00,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,B1,3,-19356.45,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,C,1,0.00,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,C,2,0.00,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,C,3,0.00,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,D,1,0.00,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,D,2,0.00,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,D,3,0.00,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,E,1,18868.76,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,E,2,0.00,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,E,3,0.00,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,E,4,18868.76,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,F,1,0.00,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,F,2,8120.62,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,F,3,-8120.62,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,H,1,0.00,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,H,2,0.00,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,H,3,0.00,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,I,1,0.00,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,I,2,0.00,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,I,3,0.00,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,I,4,0.00,,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,F460,1,16620.99,49240.35,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,F460,2,0.00,0.00,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,F460,3,16620.99,49240.35,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,F460,4,5190.50,5190.50,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,F460,5,21811.49,54430.85,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,F460,6,10466.65,66952.23,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,F460,7,0.00,0.00,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,F460,8,10466.65,66952.23,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,F460,9,-8337.90,5027.56,
