"","Zip","Amt1"
"1","02108",100
"2","02132",500
"3","18901",500
"4","19154",1100
"5","19971",3000
"6","20001",1100
"7","20015",450
"8","21076",1000
"9","33761",150
"10","63144",450
"11","64105",250
"12","75022",100
"13","75254",3300
"14","76102",500
"15","78731",300
"16","80920",25
"17","83616",50
"18","84005",100
"19","85054",3300
"20","85298",75
"21","89135",1000
"22","89511",600
"23","90020",1100
"24","90071",100
"25","90245",1100
"26","90505",1100
"27","91101",1100
"28","91304",750
"29","91406",200
"30","91505",1100
"31","91709",100
"32","91761",1100
"33","91786",200
"34","92111",3300
"35","92261",500
"36","92262",100
"37","92270",250
"38","92334",1000
"39","92603",3300
"40","92629",150
"41","92637",100
"42","92647",200
"43","92648",100
"44","92673",100
"45","92688",550
"46","92694",100
"47","92701",750
"48","92868",6600
"49","93420",80.56
"50","93428",75
"51","93444",100
"52","93446",100
"53","93561",100
"54","93614",25
"55","93619",75
"56","93635",50
"57","93667",50
"58","93737",15
"59","93901",150
"60","93906",100
"61","93908",150
"62","93923",747
"63","93924",1300
"64","93933",120.42
"65","93940",250
"66","94002",100
"67","94010",2200
"68","94015",3500
"69","94022",9800
"70","94024",2400
"71","94025",1200
"72","94027",1100
"73","94028",100
"74","94040",650
"75","94043",3200
"76","94061",750
"77","94062",1999
"78","94066",1000
"79","94070",1800
"80","94085",2350
"81","94086",1434.6
"82","94087",10305.18
"83","94089",350
"84","94102",2350
"85","94103",2200
"86","94104",300
"87","94105",100
"88","94109",4661.12
"89","94110",2000
"90","94116",300
"91","94117",2000
"92","94122",1075
"93","94127",400
"94","94134",250
"95","94158",600
"96","94301",1800
"97","94303",4090
"98","94305",3000
"99","94306",1750
"100","94402",200
"101","94403",1050
"102","94404",200
"103","94502",1100
"104","94505",750
"105","94506",1275
"106","94507",2500
"107","94509",50
"108","94510",75
"109","94513",1450
"110","94517",300
"111","94518",1100
"112","94520",1600
"113","94521",250
"114","94523",100
"115","94526",1900
"116","94531",300
"117","94536",200
"118","94538",3950
"119","94539",8751
"120","94542",500.7
"121","94550",4746.4
"122","94551",800
"123","94552",450
"124","94553",150
"125","94555",500
"126","94557",100
"127","94560",1600
"128","94565",250
"129","94566",4100
"130","94568",400
"131","94571",400.7
"132","94577",1950
"133","94578",500
"134","94582",1700
"135","94583",4385
"136","94587",50
"137","94588",1050
"138","94590",1050
"139","94591",1600
"140","94596",1620
"141","94605",100
"142","94607",1350
"143","94610",50
"144","94619",25
"145","94621",4400
"146","94903",500
"147","94941",3800
"148","94949",1100
"149","95002",8025
"150","95003",1375
"151","95005",799
"152","95008",20915.98
"153","95010",300
"154","95014",17874
"155","95015",50
"156","95018",650
"157","95019",100
"158","95020",16096.54
"159","95023",1575.7
"160","95030",15300
"161","95032",24050
"162","95033",690.28
"163","95035",23249
"164","95037",25166.28
"165","95046",4100
"166","95050",14425
"167","95051",4700
"168","95054",490
"169","95055",500
"170","95060",9050
"171","95062",1450
"172","95065",100
"173","95066",781.26
"174","95070",19630
"175","95073",145
"176","95076",999
"177","95109",1100
"178","95110",7444.7
"179","95111",10420
"180","95112",56874
"181","95113",31050
"182","95116",3805
"183","95117",1350
"184","95118",12534
"185","95119",4650.7
"186","95120",27988.1
"187","95121",27310.7
"188","95122",2901
"189","95123",10546.7
"190","95124",10361.4
"191","95125",41505.98
"192","95126",28100.7
"193","95127",31021.4
"194","95128",19675.7
"195","95129",7390
"196","95130",1380
"197","95131",10493.84
"198","95132",13909
"199","95133",6437.56
"200","95134",150
"201","95135",29995
"202","95136",12825.7
"203","95138",19795
"204","95139",175
"205","95140",6600
"206","95148",44864
"207","95150",500
"208","95151",200
"209","95153",100
"210","95160",200
"211","95203",250
"212","95204",250
"213","95219",75
"214","95242",300
"215","95247",25
"216","95258",100
"217","95321",100
"218","95337",175.7
"219","95356",200
"220","95361",150
"221","95377",75
"222","95382",50
"223","95436",50
"224","95618",100
"225","95628",25
"226","95630",1100
"227","95648",1075
"228","95661",250
"229","95667",60
"230","95682",200
"231","95685",161.12
"232","95689",100
"233","95690",750
"234","95746",150
"235","95747",525
"236","95757",215
"237","95762",920
"238","95811",2200
"239","95814",22050
"240","95818",500
"241","95821",200
"242","95828",1100
"243","95829",50
"244","95834",1600
"245","95841",100
"246","95864",500
"247","95946",100
"248","95969",720
"249","96094",100.7
"250","96114",3475
"251","96150",50
"252","96766",100
"253","96821",750
"254","97411",400
"255","97756",200
"256","99163",100
