"","Zip","Amt1"
"1","20015",1250
"2","48375",201
"3","84003",50
"4","85054",1100
"5","91762",450
"6","92024",1100
"7","92603",1100
"8","92868",2200
"9","93924",500
"10","94002",1100
"11","94010",250
"12","94022",3000
"13","94041",500
"14","94042",100
"15","94043",100
"16","94085",1600
"17","94086",2200
"18","94087",500
"19","94301",1000
"20","94303",500
"21","94403",1000
"22","94506",1100
"23","94536",200
"24","94539",51
"25","94550",1100
"26","94566",1000
"27","94577",50
"28","94583",1500
"29","94588",500
"30","94596",1200
"31","95008",1750
"32","95011",200.51
"33","95014",2300
"34","95030",3200
"35","95032",6250
"36","95035",1800
"37","95037",1000
"38","95050",6500
"39","95051",1000
"40","95054",4300
"41","95110",2000
"42","95111",1100
"43","95112",7650
"44","95113",2200
"45","95116",1000
"46","95118",550
"47","95119",1100
"48","95120",100
"49","95121",6050
"50","95122",1202
"51","95124",1490
"52","95125",2850
"53","95126",3250
"54","95127",2200
"55","95128",200
"56","95129",200
"57","95131",1100
"58","95132",1100
"59","95135",3250
"60","95136",1600
"61","95138",5870
"62","95148",5045
"63","95150",4400
"64","95377",800
"65","95814",1100
"66","95818",1000
"67","95843",400
"68","98075",1100
