"","Zip","Amt1"
"1","01106",200
"2","02043",400
"3","02186",100
"4","02460",100
"5","02466",1100
"6","02806",200
"7","02920",1100
"8","06437",250
"9","07945",1100
"10","10007",750
"11","10014",750
"12","10025",1950
"13","11215",100
"14","11414",500
"15","12553",250
"16","19034",500
"17","20001",50
"18","20007",750
"19","20008",1100
"20","20015",500
"21","20016",300
"22","20057",50
"23","20814",50
"24","20815",1350
"25","22181",750
"26","22201",20
"27","22205",100
"28","22315",200
"29","27607",250
"30","28715",150
"31","30024",500
"32","30080",600
"33","30305",150
"34","32751",750
"35","33027",1100
"36","33138",1100
"37","33156",2000
"38","33480",1500
"39","34216",2200
"40","34786",1500
"41","40508",200
"42","43201",250
"43","48108",100
"44","49007",100
"45","55331",1500
"46","55391",-200
"47","60093",1100
"48","60610",150
"49","60615",500
"50","64105",250
"51","68114",300
"52","70113",600
"53","72207",100
"54","72701",500
"55","76092",250
"56","77380",1100
"57","78233",3300
"58","78681",1100
"59","78746",1000
"60","80107",250
"61","80138",500
"62","80537",1800
"63","84103",75
"64","85054",3300
"65","85203",1000
"66","85283",450
"67","85284",300
"68","89135",1840
"69","90024",5500
"70","90025",3200
"71","90042",300
"72","90064",750
"73","90071",25
"74","90266",750
"75","90277",100
"76","90278",50
"77","90291",250
"78","90401",3650
"79","90605",1000
"80","91011",1100
"81","91024",1000
"82","91105",1500
"83","91304",350
"84","91350",3300
"85","91403",25
"86","91504",750
"87","91607",300
"88","91765",3300
"89","92011",2200
"90","92020",1500
"91","92024",2200
"92","92025",250
"93","92101",1350
"94","92106",300
"95","92107",50
"96","92110",25
"97","92116",250
"98","92121",750
"99","92123",1100
"100","92127",1100
"101","92130",4600
"102","92210",1000
"103","92253",1100
"104","92868",6600
"105","93720",1100
"106","93923",2947
"107","93924",1800
"108","93953",3700
"109","94002",3800
"110","94010",14600
"111","94015",550
"112","94022",14950
"113","94024",28949
"114","94025",19450
"115","94027",15400
"116","94028",4225
"117","94030",2300
"118","94037",6300
"119","94038",1000
"120","94040",3700
"121","94041",3650
"122","94043",1950
"123","94061",250
"124","94062",2450
"125","94065",300
"126","94066",3300
"127","94070",1900
"128","94072",1500
"129","94085",600
"130","94086",2500
"131","94087",8120
"132","94089",1100
"133","94102",10
"134","94103",300
"135","94105",-100
"136","94107",4000
"137","94108",-250
"138","94109",4020
"139","94110",7400
"140","94111",5050
"141","94112",-100
"142","94114",1450
"143","94115",7000
"144","94116",-500
"145","94117",-100
"146","94118",2115
"147","94122",750
"148","94123",4700
"149","94129",546
"150","94131",700
"151","94133",4150
"152","94148",1042
"153","94158",250
"154","94301",19800
"155","94303",3300
"156","94305",250
"157","94306",2700
"158","94402",3550
"159","94403",2100
"160","94404",1200
"161","94501",750
"162","94502",1100
"163","94505",1000
"164","94506",4900
"165","94507",200
"166","94513",4150
"167","94515",500
"168","94520",3300
"169","94526",800
"170","94536",350
"171","94538",3796
"172","94539",1450
"173","94544",750
"174","94545",300
"175","94549",3300
"176","94550",250
"177","94563",250
"178","94566",2600
"179","94577",200
"180","94582",600
"181","94583",6350
"182","94588",9900
"183","94596",4400
"184","94608",1100
"185","94611",9650
"186","94618",100
"187","94705",450
"188","94706",7
"189","94708",100
"190","94939",1100
"191","94941",1250
"192","94963",300
"193","95003",100
"194","95005",300
"195","95008",18730
"196","95010",1600
"197","95014",21275
"198","95018",170
"199","95020",5725
"200","95023",1400
"201","95030",53250
"202","95032",38200
"203","95033",7272
"204","95035",5801
"205","95037",6650
"206","95046",1500
"207","95050",16645
"208","95051",4900
"209","95053",1100
"210","95054",9760
"211","95060",3050
"212","95062",1350
"213","95066",150
"214","95070",38110
"215","95073",400
"216","95076",3000
"217","95101",198
"218","95106",3300
"219","95108",500
"220","95109",2700
"221","95110",44340
"222","95111",10092
"223","95112",100815
"224","95113",57595
"225","95114",350
"226","95116",15500
"227","95117",7730
"228","95118",6928
"229","95119",550
"230","95120",45040
"231","95121",950
"232","95122",500
"233","95123",6632
"234","95124",27175
"235","95125",88410
"236","95126",52873
"237","95127",12250
"238","95128",15379.84
"239","95129",6255
"240","95130",1500
"241","95131",7270
"242","95132",5350
"243","95133",1000
"244","95134",2398
"245","95135",4950
"246","95136",13936
"247","95138",13750
"248","95139",1400
"249","95140",2200
"250","95148",10060
"251","95153",50
"252","95161",1500
"253","95206",398
"254","95209",1000
"255","95219",1000
"256","95340",100
"257","95360",2200
"258","95376",450
"259","95404",100
"260","95442",750
"261","95448",1100
"262","95472",50
"263","95476",100
"264","95611",750
"265","95630",1200
"266","95631",3300
"267","95650",300
"268","95742",1500
"269","95811",2700
"270","95814",7000
"271","95864",3300
"272","96002",350
"273","96110",1100
"274","96740",3300
"275","96813",500
"276","96819",250
"277","97214",1100
"278","97225",3300
"279","97229",2200
"280","97267",100
"281","97520",300
"282","98033",450
"283","98101",-1500
"284","98104",1100
"285","98118",500
