"","Zip","Amt1"
"1","10012",250
"2","11968",50
"3","75070",25
"4","77354",50
"5","80487",100
"6","85054",1100
"7","90401",350
"8","91103",1000
"9","91108",518
"10","91304",350
"11","92014",150
"12","92025",250
"13","92064",100
"14","92067",250
"15","92121",250
"16","92130",300
"17","92624",100
"18","92866",250
"19","93908",100
"20","94002",200
"21","94010",50
"22","94025",1100
"23","94027",250
"24","94070",200
"25","94086",2000
"26","94087",1350
"27","94109",100
"28","94129",50
"29","94301",1950
"30","94306",100
"31","94530",1100
"32","94542",50
"33","94583",500
"34","94597",100
"35","95008",650
"36","95013",500
"37","95014",1000
"38","95030",6100
"39","95031",500
"40","95032",5850
"41","95033",2200
"42","95037",700
"43","95050",6000
"44","95051",350
"45","95054",1100
"46","95060",500
"47","95062",200
"48","95063",20
"49","95070",2085
"50","95110",1850
"51","95112",7575
"52","95113",4200
"53","95116",100
"54","95117",50
"55","95118",1420
"56","95120",1675
"57","95122",500
"58","95123",2530
"59","95124",5645
"60","95125",56230.49
"61","95126",20775
"62","95127",50
"63","95128",4870
"64","95129",20
"65","95131",1200
"66","95135",1100
"67","95136",1100
"68","95138",200
"69","95139",30
"70","95150",4400
"71","95159",400
"72","95301",1000
"73","95648",200
"74","95746",50
"75","95814",1100
"76","96134",100
