ZipCode;TotalAmount;
2108;100;Cortese
2132;500;Cortese
18901;500;Cortese
19154;1100;Cortese
19971;3000;Cortese
20001;1100;Cortese
20015;450;Cortese
21076;1000;Cortese
33761;150;Cortese
63144;450;Cortese
64105;250;Cortese
75022;100;Cortese
75254;3300;Cortese
76102;500;Cortese
78731;300;Cortese
80920;25;Cortese
83616;50;Cortese
84005;100;Cortese
85054;3300;Cortese
85298;75;Cortese
89135;1000;Cortese
89511;600;Cortese
90020;1100;Cortese
90071;100;Cortese
90245;1100;Cortese
90505;1100;Cortese
91101;1100;Cortese
91304;750;Cortese
91406;200;Cortese
91505;1100;Cortese
91709;100;Cortese
91761;1100;Cortese
91786;200;Cortese
92111;3300;Cortese
92261;500;Cortese
92262;100;Cortese
92270;250;Cortese
92334;1000;Cortese
92603;3300;Cortese
92629;150;Cortese
92637;100;Cortese
92647;200;Cortese
92648;100;Cortese
92673;100;Cortese
92688;550;Cortese
92694;100;Cortese
92701;750;Cortese
92868;6600;Cortese
93420;80.56;Cortese
93428;75;Cortese
93444;100;Cortese
93446;100;Cortese
93561;100;Cortese
93614;25;Cortese
93619;75;Cortese
93635;50;Cortese
93667;50;Cortese
93737;15;Cortese
93901;150;Cortese
93906;100;Cortese
93908;150;Cortese
93923;747;Cortese
93924;1300;Cortese
93933;120.42;Cortese
93940;250;Cortese
94002;100;Cortese
94010;2200;Cortese
94015;3500;Cortese
94022;9800;Cortese
94024;2400;Cortese
94025;1200;Cortese
94027;1100;Cortese
94028;100;Cortese
94040;650;Cortese
94043;3200;Cortese
94061;750;Cortese
94062;1999;Cortese
94066;1000;Cortese
94070;1800;Cortese
94085;2350;Cortese
94086;1434.6;Cortese
94087;10305.18;Cortese
94089;350;Cortese
94102;2350;Cortese
94103;2200;Cortese
94104;300;Cortese
94105;100;Cortese
94109;4661.12;Cortese
94110;2000;Cortese
94116;300;Cortese
94117;2000;Cortese
94122;1075;Cortese
94127;400;Cortese
94134;250;Cortese
94158;600;Cortese
94301;1800;Cortese
94303;4090;Cortese
94305;3000;Cortese
94306;1750;Cortese
94402;200;Cortese
94403;1050;Cortese
94404;200;Cortese
94502;1100;Cortese
94505;750;Cortese
94506;1275;Cortese
94507;2500;Cortese
94509;50;Cortese
94510;75;Cortese
94513;1450;Cortese
94517;300;Cortese
94518;1100;Cortese
94520;1600;Cortese
94521;250;Cortese
94523;100;Cortese
94526;1900;Cortese
94531;300;Cortese
94536;200;Cortese
94538;3950;Cortese
94539;8751;Cortese
94542;500.7;Cortese
94550;4746.4;Cortese
94551;800;Cortese
94552;450;Cortese
94553;150;Cortese
94555;500;Cortese
